Source	Species	Organ	Matrix	Tx	standard.name	Name	Major Class	Class	Abbreviation	Saturation	Highest Saturation Degree	Cluster	Subclass	Chain Length	Chain Type	Subclass 2	synthesis.pathway	label	label.saturation
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	"(Z)-9,12,13-trihydroxyoctadec-15-enoic acid "	"(Z)-9,12,13-trihydroxyoctadec-15-enoic acid "	Oxylipins	TriHOME	TriHOME	Monounsaturated	1	Polyunsaturated Oxylipin	Unsaturated Oxylipin	18	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	TriHOME	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	13-HODE 	13-HODE 	Oxylipins	HODE	HODE	Polyunsaturated	2	Polyunsaturated Oxylipin	Unsaturated Oxylipin	18	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	HODE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	13-HpOTrE 	13-HpOTrE 	Oxylipins	HpOTrE	HpOTrE	Polyunsaturated	3	Polyunsaturated Oxylipin	Unsaturated Oxylipin	18	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	HpOTrE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	13-KODE 	13-KODE 	Oxylipins	KODE	KODE	Polyunsaturated	2	Polyunsaturated Oxylipin	Unsaturated Oxylipin	18	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	KODE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	15-HPETE 	15-HPETE 	Oxylipins	HPETE	HPETE	Polyunsaturated	4	Polyunsaturated Oxylipin	Unsaturated Oxylipin	20	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	HPETE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	3-beta-hydroxy-5-cholestenoic acid 	3-beta-hydroxy-5-cholestenoic acid 	Sterol Lipids	Bile Acids	BA	Polyunsaturated	Unknown	Polyunsaturated BA	Unsaturated BA	Unknown	Unknown	Unsaturated BA-Unknown	Sterol Lipid Metabolism	Bile Acids	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	4-HDoHE 	4-HDoHE 	Oxylipins	HDoHE	HDoHE	Polyunsaturated	6	Polyunsaturated Oxylipin	Unsaturated Oxylipin	22	VLCFA	Unsaturated Oxylipin-VLCFA	Arachidonic Acid Cascade	HDoHE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	5-HETE 	5-HETE 	Oxylipins	HETE	HETE	Polyunsaturated	4	Polyunsaturated Oxylipin	Unsaturated Oxylipin	20	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	HETE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	"8,15-DiHETE "	"8,15-DiHETE "	Oxylipins	DiHETE	DiHETE	Polyunsaturated	4	Polyunsaturated Oxylipin	Unsaturated Oxylipin	20	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	DiHETE	Unsaturated.Oxylipin
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	AC(10:0)	AC 10:0	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	10	SCFA & MCFA	Saturated AC-SCFA & MCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
