from	to	synthesis.pathway	leading.name	enzyme.id	hgnc.symbols	SetID	Level
O-Chol	TC	Cholesterol Catabolism	Aldo-keto reductase family 1 member D1	AKR1D1	AKR1D1	Base	0
O-Chol	TCX	Cholesterol Catabolism	Aldo-keto reductase family 1 member D1	AKR1D1	AKR1D1	Base	0
OH-Chol	O-Chol	Cholesterol Catabolism	Hydroxy-delta-5-steroid dehydrogenase 3B7	HSD3B7	HSD3B7	Base	0
Chol	OH-Chol	Cholesterol Catabolism	CYP450 monooxygenase 7A1	CYP7A1	CYP7A1	Base	0
CoA	N-acylglycine	Fatty Acid Biosynthesis	glycine-N-acyltransferase	GLYAT	GLYAT	Base	0
N-acylglycine	aFA	Fatty Acid Biosynthesis	peptidylglycine alpha-amidating monooxygenase	PAM	PAM	Base	0
CoA	M-CoA	Fatty Acid Biosynthesis	Acetyl-CoA carboxylase	ACAC	ACAC	Base	0
Citrate	CoA	Fatty Acid Biosynthesis	ATP citrate lyase	ACLY	ACLY	Base	0
M-CoA	FA	Fatty Acid Biosynthesis	Fatty acid synthase	FASN	FASN	Base	0
FA	FA-CoA	Fatty Acid Biosynthesis	Acyl-CoA synthetase	ACSL1	ACSL1	Base	0
FA	OH-FA	Fatty Acid Biosynthesis	Lipoxygenase	ALOX5	ALOX5	Base	0
OH-FA	FAHFA	Fatty Acid Biosynthesis	Adipose triglyceride lipase	ATGL	ATGL	Base	0
DG	TG	Glycerolipid Biosynthesis	Acyl-CoA diacylglycerol acyltransferase	DGAT1	DGAT1	Base	0
MG	DG	Glycerolipid Biosynthesis	Monoacylglycerol O-acyltransferase	MOGAT1	MOGAT1	Base	0
TG	MG	Glycerolipid Biosynthesis	Pancreatic lipase	PNLIP	PNLIP	Base	0
CAR	AC	Lipid Transport	Carnitine O-acyltransferase	CRAT	CRAT	Base	0
FA-CoA	AC	Lipid Transport	Carnitine O-acyltransferase	CRAT	CRAT	Base	0
FA-CoA	DHAP	Lipid Transport	Glyceronephosphate O-acyltransferase	GNPAT	GNPAT	Base	0
FA	ALOX	Oxylipin Biosynthesis	Lipoxygenase	ALOX5	ALOX5	Base	0
FA	PTGS2	Oxylipin Biosynthesis	Cyclooxygenase	PTGS2	PTGS2	Base	0
FA	ALOX.D	Oxylipin Biosynthesis	CYP450 monooxygenase families C/J	ALOX5	ALOX5	Base	0
FA	ALOX.E	Oxylipin Biosynthesis	Lipoxygenase	ALOX5	ALOX5	Base	0
FA	ALOX.O	Oxylipin Biosynthesis	Lipoxygenase	ALOX5	ALOX5	Base	0
CDP-DG	PGP	Phospholipid Biosynthesis	Phosphatidylglycerophosphate synthase	PGS1	PGS1	Base	0
CDP-DG	PI	Phospholipid Biosynthesis	Phosphatidylinositol synthase	CDIPT	CDIPT	Base	0
DG	PC	Phospholipid Biosynthesis	Choline phosphotransferase	"CHPT1,SGMS1"	"CHPT1,SGMS1"	Base	0
DG	PE	Phospholipid Biosynthesis	Ethanolamine phosphotransferase	CEPT1	CEPT1	Base	0
FA-CoA	pPE	Phospholipid Biosynthesis	Glyceronephosphate O-acyltransferase	GNPAT	GNPAT	Base	0
G3P	LPC	Phospholipid Biosynthesis	Glycerol-3-phosphate acyltransferase 3	GPAT3	GPAT3	Base	0
LPA	PA	Phospholipid Biosynthesis	1-acylglycerol-3-phosphate O-acyltransferase	AGPAT1/PLA2G6	"AGPAT1,PLA2G6"	Base	0
LPC	MG	Phospholipid Biosynthesis	Phospholipid phosphatase	PLPP1	PLPP1	Base	0
FA	LPA	Phospholipid Biosynthesis	Glycerol-3-phosphate acyltransferase 3	GPAT3	GPAT3	Base	0
PA	DG	Phospholipid Biosynthesis	Phosphatidic acid phosphatase	PPAP2A	PPAP2A	Base	0
PA	CDP-DG	Phospholipid Biosynthesis	cdp-diacylglycerol synthase	CDS1	CDS1	Base	0
PC	PS	Phospholipid Biosynthesis	phosphatidylserine synthase 1/2	PTDSS1	PTDSS1	Base	0
PC	LPC	Phospholipid Biosynthesis	phospholipase A2	PLA2G6	PLA2G6	Base	0
PC	FA	Phospholipid Biosynthesis	phospholipase A2	PLA2G6	PLA2G6	Base	0
PE	LPE	Phospholipid Biosynthesis	Phospholipase A2	PLA2G6	PLA2G6	Base	0
PG	CL	Phospholipid Biosynthesis	Cardiolipin synthase	CRLS1	CRLS1	Base	0
PG	LPG	Phospholipid Biosynthesis	Phospholipase A2	PLA2G6	PLA2G6	Base	0
LPG	BMP	Phospholipid Biosynthesis	Phospholipase D3	PLD3	PLD3	Base	0
LPG	HBMP	Phospholipid Biosynthesis	Phospholipase D3	PLD3	PLD3	Base	0
PGP	PG	Phospholipid Biosynthesis	Phosphatidylglycerophosphate phosphatase	PGPP1	PGPP1	Base	0
PI	GPI	Phospholipid Biosynthesis	Phosphatidylinositol glycan biosynthesis class A	PIGA	PIGA	Base	0
PI	LPI	Phospholipid Biosynthesis	Phospholipase A2	PLA2G6	PLA2G6	Base	0
PS	LPS	Phospholipid Biosynthesis	Phospholipase A2	PLA2G6	PLA2G6	Base	0
DHAP	pPE	Plasmalogen Biosynthesis	Glyceronephosphate O-acyltransferase	PEDS1	"GNPAT,AGPS,ADHAPR,FAR1,PEDS1,SELENOI,CEPT1"	Base	0
pPE	pDG	Plasmalogen Biosynthesis		PEDS1	"GNPAT,AGPS,ADHAPR,FAR1,PEDS1,SELENOI,CEPT1"	Base	0
pDG	pPC	Plasmalogen Biosynthesis		PEDS1	"GNPAT,AGPS,ADHAPR,FAR1,PEDS1,SELENOI,CEPT1"	Base	0
pPC	pLPC	Plasmalogen Biosynthesis		PEDS1	"GNPAT,AGPS,ADHAPR,FAR1,PEDS1,SELENOI,CEPT1"	Base	0
pPE	pLPE	Plasmalogen Biosynthesis		PEDS1	"GNPAT,AGPS,ADHAPR,FAR1,PEDS1,SELENOI,CEPT1"	Base	0
O-dhSph	dhSph	Sphingolipid Biosynthesis	3-ketodihydrosphingosine reductase	KDSR	KDSR	Base	0
Cer	Cer1P	Sphingolipid Biosynthesis	Ceramide kinase	CERK	CERK	Base	0
Cer	A-Cer	Sphingolipid Biosynthesis	LCFA ligase	ACSL1	ACSL1	Base	0
Cer	SM	Sphingolipid Biosynthesis	Sphingomyelin synthase/sphingomyelinase	SGMS1	SGMS1	Base	0
Cer	HexCer	Sphingolipid Biosynthesis	Glycosylceramide synthase/ceramidase	UGCG	UGCG	Base	0
Cer	Sph	Sphingolipid Biosynthesis	Alkaline ceramidase/ceramide synthase	ACER2	ACER2	Base	0
dhCer	Cer	Sphingolipid Biosynthesis	Sphingolipid desaturase	DEGS1	DEGS1	Base	0
dhSph	dhCer	Sphingolipid Biosynthesis	Ceramide synthase	CERS5	CERS5	Base	0
PC	SM	Sphingolipid Biosynthesis	Sphingomyelin synthase	SGMS1	SGMS1	Base	0
FA	O-dhSph	Sphingolipid Biosynthesis	Fatty acid desaturase	FADS	FADS	Base	0
Ser	O-dhSph	Sphingolipid Biosynthesis	Serine palmitoyltransferase	SPT	SPT	Base	0
Sph	S1P	Sphingolipid Biosynthesis	Sphingosine kinase/phosphatase	SPHK1	SPHK1	Base	0
CoA	HMG-CoA	Sterol Lipid Biosynthesis	HMG-CoA synthase	HMGCS1	HMGCS1	Base	0
Chol	CE	Sterol Lipid Biosynthesis	Lecithin-cholesterol acyltransferase	LCAT	LCAT	Base	0
HMG-CoA	Mevalonate	Sterol Lipid Biosynthesis	HMG-CoA reductase	HMGCR	HMGCR	Base	0
Mevalonate	Chol	Sterol Lipid Biosynthesis	Mevalonate pyrophosphate decarboxylase	MVD	MVD	Base	0
dhCer	dhSM	Sphingolipid Biosynthesis	Sphingomyelin synthase/sphingomyelinase	SGMS1	SGMS1	Base	0
Phospholipid	Arachidonic acid	Arachidonic Acid Cascade	Phospholipase A2	PLA2G6	"PLA2G6,PLA2G5,PLA2G1B,PLA2G2A,PLA2G10"	Oxylipins	1
Phospholipid	Docosahexaenoic acid	Docosanoid Biosynthesis	Phospholipase A2	PLA2G6	"PLA2G6,PLA2G5,PLA2G1B,PLA2G2A,PLA2G10"	Oxylipins	1
Phospholipid	Eicosapentaenoic acid	Eicosanoid Biosynthesis	Phospholipase A2	PLA2G6	"PLA2G6,PLA2G5,PLA2G1B,PLA2G2A,PLA2G10"	Oxylipins	1
Phospholipid	Docosapentaenoic acid	Docosanoid Biosynthesis	Phospholipase A2	PLA2G6	"PLA2G6,PLA2G5,PLA2G1B,PLA2G2A,PLA2G10"	Oxylipins	1
Phospholipid	Linoleic acid	Octadecanoid Biosynthesis	Phospholipase A2	PLA2G6	"PLA2G6,PLA2G5,PLA2G1B,PLA2G2A,PLA2G10"	Oxylipins	1
Arachidonic acid	Hydroperoxyeicosatrienoic acid	Arachidonic Acid Cascade	Lipoxygenase	ALOX5	"ALOX5,ALOX12,ALOX15,ALOX15B"	Oxylipins	1
Arachidonic acid	Prostaglandin	Arachidonic Acid Cascade	Cyclooxygenase	PTGS2	"PTGS1,PTGS2"	Oxylipins	1
Arachidonic acid	Epoxyeicosatrienoic acid	Arachidonic Acid Cascade	CYP450 monooxygenase families C/J	CYP2J2	"CYP2J2,CYP2C9,CYP2C8,CYP2C19,CYP2C18"	Oxylipins	1
Arachidonic acid	Hydroxyeicosatrienoic acid	Arachidonic Acid Cascade	Lipoxygenase	ALOX5	"ALOX5,ALOX12,ALOX15,ALOX15B"	Oxylipins	1
Hydroperoxyeicosatrienoic acid	Leukotriene	Arachidonic Acid Cascade	Lipoxygenase	ALOX5	"ALOX5,ALOX12,ALOX15,ALOX15B"	Oxylipins	1
Hydroperoxyeicosatrienoic acid	Hydroxyeicosatrienoic acid	Arachidonic Acid Cascade	Glutathione peroxidase	GPX1	"GPX1,GPX2,GPX4"	Oxylipins	1
Hydroxyeicosatrienoic acid	Oxoeicosatrienoic acid	Arachidonic Acid Cascade	Hydroxyeicosanoid dehydrogenase	DHRS7	DHRS7	Oxylipins	1
Hydroxyeicosatrienoic acid	Dihydroxyeicosatrienoic acid	Arachidonic Acid Cascade	Lipoxygenase	ALOX5	"ALOX5,ALOX12,ALOX15,ALOX15B"	Oxylipins	1
Hydroxyeicosatrienoic acid	Lipoxin	Arachidonic Acid Cascade	Lipoxygenase	ALOX5	"ALOX5,ALOX12,ALOX15,ALOX15B"	Oxylipins	1
Epoxyeicosatrienoic acid	Dihydroxyeicosatrienoic acid	Arachidonic Acid Cascade	soluble epoxide hydrolase	EPHX2	EPHX2	Oxylipins	1
Prostaglandin	Thromboxane/PTG Derivatives	Arachidonic Acid Cascade	Cyclooxygenase	TBXAS1	"TBXAS1,PTGDS,PTGFR,PTGIS,PTGIR,CYP5A1,PTGES,PTGDR,HPGD"	Oxylipins	1
Docosahexaenoic acid	Hydroperoxydocosahexaenoic acid	Docosanoid Biosynthesis	Lipoxygenase	ALOX5	"ALOX5,ALOX12,ALOX15,ALOX15B"	Oxylipins	1
Docosahexaenoic acid	Epoxydocosahexaenoic acid	Docosanoid Biosynthesis	CYP450 monooxygenase families C/J	CYP2J2	"CYP2J2,CYP2C9,CYP2C8,CYP2C19,CYP2C18"	Oxylipins	1
Hydroperoxydocosahexaenoic acid	Hydroxydocosahexaenoic acid	Docosanoid Biosynthesis	Glutathione peroxidase	GPX1	"GPX1,GPX2,GPX4"	Oxylipins	1
Hydroperoxydocosahexaenoic acid	Resolvin D	Docosanoid Biosynthesis	Lipoxygenase	ALOX5	ALOX5	Oxylipins	1
Hydroxydocosahexaenoic acid	Dihydroxydocosahexaenoic acid	Docosanoid Biosynthesis	Lipoxygenase	ALOX5	"ALOX5,ALOX12,ALOX15,ALOX15B"	Oxylipins	1
Epoxydocosahexaenoic acid	Dihydroxydocosahexaenoic acid	Docosanoid Biosynthesis	soluble epoxide hydrolase	EPHX2	EPHX2	Oxylipins	1
Hydroperoxydocosahexaenoic acid	Protectin D	Docosanoid Biosynthesis	Lipoxygenase	ALOX15	ALOX15	Oxylipins	1
Eicosapentaenoic acid	Hydroperoxyeicosapentaenoic acid	Eicosanoid Biosynthesis	Lipoxygenase	ALOX5	"ALOX5,ALOX12,ALOX15,ALOX15B"	Oxylipins	1
