class1,class2,comp_type,label
Saturated.Phosphatidylcholine,Saturated.Sphingomyelin,edge,Phosphatidylcholine_Sphingomyelin
Unsaturated.Phosphatidylcholine,Unsaturated.Sphingomyelin,edge,Phosphatidylcholine_Sphingomyelin
Saturated.Sphingomyelin,Saturated.Ceramide,edge,Sphingomyelin_Ceramide
Unsaturated.Sphingomyelin,Unsaturated.Ceramide,edge,Sphingomyelin_Ceramide
Saturated.Dihydroceramide,Saturated.Ceramide,edge,Dihydroceramide_Ceramide
Unsaturated.Dihydroceramide,Unsaturated.Ceramide,edge,Dihydroceramide_Ceramide
Saturated.Ceramide,Sphingosine,edge,Ceramide_Sphingosine
Unsaturated.Ceramide,Unsaturated.Sphingosine,edge,Ceramide_Sphingosine
Saturated.Ceramide,Saturated.Glycosylceramide,edge,Ceramide_Glycosylceramide
Unsaturated.Ceramide,Unsaturated.Glycosylceramide,edge,Ceramide_Glycosylceramide
Saturated.Glycosylceramide,Saturated.Lactosylceramide,edge,Glycosylceramide_Lactosylceramide
Unsaturated.Glycosylceramide,Unsaturated.Lactosylceramide,edge,Glycosylceramide_Lactosylceramide
Saturated.Saturated FA/Palmitic acid,Saturated.Dihydroceramide,edge,Saturated FA/Palmitic acid_Dihydroceramide
Saturated.Saturated FA/Palmitic acid,Unsaturated.Dihydroceramide,edge,Saturated FA/Palmitic acid_Dihydroceramide
Saturated.Saturated FA/Palmitic acid,Unsaturated.Mono/Unsaturated fatty acid,edge,Saturated FA/Palmitic acid_Mono/polyunsaturated fatty acid
Unsaturated.Mono/Unsaturated fatty acid,Saturated.Lysophosphatidic acid,edge,Mono/polyunsaturated fatty  acid_Lysophosphatidic acid
Unsaturated.Mono/Unsaturated fatty acid,Unsaturated.Lysophosphatidic acid,edge,Mono/polyunsaturated fatty  acid_Lysophosphatidic acid
Saturated.Lysophosphatidic acid,Saturated.Phosphatidic acid,edge,Lysophosphatidic acid_Phosphatidic acid
Unsaturated.Lysophosphatidic acid,Unsaturated.Phosphatidic acid,edge,Lysophosphatidic acid_Phosphatidic acid
Saturated.Phosphatidic acid,Saturated.Diacylglycerol,edge,Phosphatidic acid_Diacylglycerol
Unsaturated.Phosphatidic acid,Unsaturated.Diacylglycerol,edge,Phosphatidic acid_Diacylglycerol
Unsaturated.Lysophosphatidic acid,Unsaturated.Monoacylglycerol,edge,Lysophosphatidic acid_Monoacylglycerol
Saturated.Diacylglycerol,Saturated.Triacylglycerol,edge,Diacylglycerol_Triacylglycerol
Unsaturated.Diacylglycerol,Unsaturated.Triacylglycerol,edge,Diacylglycerol_Triacylglycerol
Unsaturated.Monoacylglycerol,Unsaturated.Triacylglycerol,edge,Monoacylglycerol_Triacylglycerol
Unsaturated.Diacylglycerol,Unsaturated.Monoacylglycerol,edge,Diacylglycerol_Monoacylglycerol
Saturated.Diacylglycerol,Saturated.Phosphatidylcholine,edge,Diacylglycerol_Phosphatidylcholine
Unsaturated.Diacylglycerol,Unsaturated.Phosphatidylcholine,edge,Diacylglycerol_Phosphatidylcholine
Saturated.Diacylglycerol,Saturated.Phosphatidylethanolamine,edge,Diacylglycerol_Phosphatidylethanolamine
Unsaturated.Diacylglycerol,Unsaturated.Phosphatidylethanolamine,edge,Diacylglycerol_Phosphatidylethanolamine
