Node,label,ID,ID.string,abbreviation,representative_name,major.class,synthesis.pathway,doi,SMILES,Lipidmaps
Phospholipid,Phospholipid,PL,PL,PL,PC 36:4,Oxylipins,Arachidonic Acid Cascade,10.1038/s41392-020-00443-w,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C/C/C=C/C/C=C/C/C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O,https://www.lipidmaps.org/databases/lmissd/LMGP01010629
Arachidonic acid,Arachidonic acid,AA,Arachidonic|arachidonic|FA (20:4)|FFA (20:4)|FA 20:4|FFA 20:4,FA 20:4,FA 20:4,Oxylipins,Arachidonic Acid Cascade,10.1038/s41392-020-00443-w,C(O)(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,https://www.lipidmaps.org/databases/lmsd/LMFA01030001
Dihydroxyeicosatrienoic acid,DiHETrE,DiHETrE,DiHETrE,DiHETrE,FA 20:4;O2,Oxylipins,Arachidonic Acid Cascade,10.1038/s41392-020-00443-w,C(/C=C\CC(O)C(O)CCCC(=O)O)/C=C\C/C=C\CCCCC,https://www.lipidmaps.org/databases/lmsd/LMFA03050004
Epoxyeicosatrienoic acid,EET,EET,EET,EET,FA 20:4;O,Oxylipins,Arachidonic Acid Cascade,10.1038/s41392-020-00443-w,C(/C=C\CC1OC1CCCC(=O)O)/C=C\C/C=C\CCCCC,https://www.lipidmaps.org/databases/lmsd/LMFA03080002
Hydroperoxyeicosatrienoic acid,HpETE,HpETE,HpETE,HpETE,FA 20:4;O2,Oxylipins,Arachidonic Acid Cascade,10.1038/s41392-020-00443-w,C(/C=C\C=C\[C@@H](OO)CCCC(=O)O)/C=C\C/C=C\CCCCC,https://www.lipidmaps.org/databases/lmsd/LMFA03060012
Hydroxyeicosatrienoic acid,HETE,HETE,HETE,HETE,FA 20:4;O,Oxylipins,Arachidonic Acid Cascade,10.1038/s41392-020-00443-w,C(O)(=O)CCC[C@H](O)/C=C/C=C\C/C=C\C/C=C\CCCCC,https://www.lipidmaps.org/databases/lmsd/LMFA03060002
Oxoeicosatrienoic acid,oxoETE,oxoETE,oxoETE,oxoETE,FA 20:4;O,Oxylipins,Arachidonic Acid Cascade,10.1038/s41392-020-00443-w,C(O)(=O)CCCC(=O)/C=C/C=C\C/C=C\C/C=C\CCCCC,https://www.lipidmaps.org/databases/lmsd/LMFA03060011
Lipoxin,LXB,LXB,LXB,LXB,FA 20:4;O3,Oxylipins,Arachidonic Acid Cascade,10.1038/s41392-020-00443-w,C(/C=C/[C@@H](O)CCCC(O)=O)=C/C=C/C=C/[C@@H](O)[C@@H](O)CCCCC,https://www.lipidmaps.org/databases/lmsd/LMFA03040002
Leukotriene,Leukotriene,LKT,LT,LT,FA 20:4;O2,Oxylipins,Arachidonic Acid Cascade,10.1038/s41392-020-00443-w,C(/C/C=C\CCCCC)=C/C=C/C=C/[C@@H]1O[C@H]1CCCC(O)=O,https://www.lipidmaps.org/databases/lmsd/LMFA03020023
Prostaglandin,Prostaglandin,PSG,PSG,PSG,FA 20:4;O3,Oxylipins,Arachidonic Acid Cascade,10.1038/s41392-020-00443-w,[C@H]1(/C=C/[C@@H](O)CCCCC)[C@@H]2OO[C@@H](C2)[C@@H]1C/C=C\CCCC(=O)O,https://www.lipidmaps.org/databases/lmsd/LMFA03010010
