Node	Name	synthesis.pathway	SetID	Level
O-Chol	7-alpha-hydroxy-4-cholesten-3-one	Cholesterol Catabolism	Base	0
OH-Chol	7-alpha-hydroxycholesterol	Cholesterol Catabolism	Base	0
TC	Tauro-cholic acid	Cholesterol Catabolism	Base	0
TCX	Tauro-chenodeoxycholic acid	Cholesterol Catabolism	Base	0
aFA	Fatty acid amide	Fatty Acid Biosynthesis	Base	0
FA	Fatty acid	Fatty Acid Biosynthesis	Base	0
FAHFA	Fatty acid ester of hydroxy fatty acid	Fatty Acid Biosynthesis	Base	0
N-acylglycine	N-acylglycine	Fatty Acid Biosynthesis	Base	0
Citrate	Citrate	Fatty Acid Biosynthesis	Base	0
M-CoA	Malonyl-CoA	Fatty Acid Biosynthesis	Base	0
OH-FA	Hydroxy fatty acid	Fatty Acid Biosynthesis	Base	0
FA-CoA	Fatty acyl-CoA	Fatty Acid Biosynthesis	Base	0
DG	Diacylglycerol	Glycerolipid Biosynthesis	Base	0
TG	Triacylglycerol	Glycerolipid Biosynthesis	Base	0
MG	Monoacylglycerol	Glycerolipid Biosynthesis	Base	0
CDP-DG	CDP-Diacylglycerol	Glycerolipid Biosynthesis	Base	0
CAR	Carnitine	Lipid Transport	Base	0
CoA	Acetyl-CoA	Lipid Transport	Base	0
AC	Acylcarnitine	Lipid Transport	Base	0
ALOX	"HETE, EET, HpETE, LX, LT"	Oxylipin Biosynthesis	Base	0
ALOX.D	"HETE, EET, HpETE, LX, LT"	Oxylipin Biosynthesis	Base	0
ALOX.E	"HETE, EET, HpETE, LX, LT"	Oxylipin Biosynthesis	Base	0
ALOX.O	"HETE, EET, HpETE, LX, LT"	Oxylipin Biosynthesis	Base	0
PTGS2	Prostaglandin	Oxylipin Biosynthesis	Base	0
BMP	Bis(monoacylglycero)phosphate	Phospholipid Biosynthesis	Base	0
CL	Cardiolipin	Phospholipid Biosynthesis	Base	0
HBMP	Hemi-bis(monoacylglycero)phosphate	Phospholipid Biosynthesis	Base	0
LPC	Lysophosphatidylcholine	Phospholipid Biosynthesis	Base	0
LPE	Lysophosphatidylethanolamine	Phospholipid Biosynthesis	Base	0
LPG	Lysophosphatidylglycerol	Phospholipid Biosynthesis	Base	0
LPI	Lysophosphatidylinositol	Phospholipid Biosynthesis	Base	0
LPS	Lysophosphatidylserine	Phospholipid Biosynthesis	Base	0
PC	Phosphatidylcholine	Phospholipid Biosynthesis	Base	0
PE	Phosphatidylethanolamine	Phospholipid Biosynthesis	Base	0
PG	Phosphatidylglycerol	Phospholipid Biosynthesis	Base	0
PI	Phosphatidylinositol	Phospholipid Biosynthesis	Base	0
pLPE	PlasmenylLPE	Plasmalogen Biosynthesis	Base	0
pPC	PlasmenylPC	Plasmalogen Biosynthesis	Base	0
pPE	PlasmenylPE	Plasmalogen Biosynthesis	Base	0
PS	Phosphatidylserine	Phospholipid Biosynthesis	Base	0
DHAP	DHAP	Plasmalogen Biosynthesis	Base	0
G3P	Glycerol-3-phosphate	Phospholipid Biosynthesis	Base	0
LPA	Lysophosphatidic acid	Phospholipid Biosynthesis	Base	0
PA	Phosphatidic acid	Phospholipid Biosynthesis	Base	0
PGP	Phosphatidylglycerol phosphate	Phospholipid Biosynthesis	Base	0
pDG	PlasmenylDG	Plasmalogen Biosynthesis	Base	0
pLPC	PlasmenylLPC	Plasmalogen Biosynthesis	Base	0
GPI	Glycophosphatidylinositol	Phospholipid Biosynthesis	Base	0
Cer	Ceramide	Sphingolipid Biosynthesis	Base	0
Cer1P	Ceramide 1-phosphate	Sphingolipid Biosynthesis	Base	0
dhCer	Dihydroceramide	Sphingolipid Biosynthesis	Base	0
dhSM	Dihydrosphingomyelin	Sphingolipid Biosynthesis	Base	0
dhSph	Dihydrosphingosine	Sphingolipid Biosynthesis	Base	0
HexCer	Glycosylceramide	Sphingolipid Biosynthesis	Base	0
SM	Sphingomyelin	Sphingolipid Biosynthesis	Base	0
Sph	Sphingosine	Sphingolipid Biosynthesis	Base	0
O-dhSph	3-ketodihydrosphingosine	Sphingolipid Biosynthesis	Base	0
Ser	Serine	Sphingolipid Biosynthesis	Base	0
